summary_date,site,no_davg,name,obs_count,units 
2016-11-22,3658,0.017,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2016-11-22,2923,0.019,Barstow,23,Parts Per Million ( ppm ) 
2016-11-22,3215,0.002,Trona-Athol and Telegraph,22,Parts Per Million ( ppm ) 
2016-11-22,3500,0.011,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2016-11-22,3489,0.001,Salinas-High School,24,Parts Per Million ( ppm ) 
2016-11-22,2484,0.003,Azusa,24,Parts Per Million ( ppm ) 
2016-11-22,3743,0.027,Compton-700 North Bullis Road,24,Parts Per Million ( ppm ) 
2016-11-22,2849,0.001,Glendora-Laurel,24,Parts Per Million ( ppm ) 
2016-11-22,3774,0.022,Long Beach-2425 Webster Street          ,24,Parts Per Million ( ppm ) 
2016-11-22,3818,0.066,Long Beach-Route 710 Near Road          ,22,Parts Per Million ( ppm ) 
2016-11-22,2899,0.020,Los Angeles-North Main Street,24,Parts Per Million ( ppm ) 
2016-11-22,3683,0.004,Los Angeles-Westchester Parkway,24,Parts Per Million ( ppm ) 
2016-11-22,2160,0.004,Pasadena-S Wilson Avenue,24,Parts Per Million ( ppm ) 
2016-11-22,3693,0.018,Pico Rivera-4144 San Gabriel,24,Parts Per Million ( ppm ) 
2016-11-22,2898,0.028,Pomona,24,Parts Per Million ( ppm ) 
2016-11-22,2420,0.010,Reseda,24,Parts Per Million ( ppm ) 
2016-11-22,3502,0.011,Santa Clarita,23,Parts Per Million ( ppm ) 
2016-11-22,2494,0.007,West Los Angeles-VA Hospital,24,Parts Per Million ( ppm ) 
2016-11-22,3809,0.032,Anaheim-812 W Vermont Street            ,24,Parts Per Million ( ppm ) 
2016-11-22,3674,0.012,Anaheim-Pampas Lane,24,Parts Per Million ( ppm ) 
2016-11-22,2937,0.005,Costa Mesa-Mesa Verde Drive,24,Parts Per Million ( ppm ) 
2016-11-22,3168,0.005,Banning Airport,24,Parts Per Million ( ppm ) 
2016-11-22,2943,0.007,Lake Elsinore-W Flint Street,24,Parts Per Million ( ppm ) 
2016-11-22,3702,0.027,Mira Loma Van Buren,24,Parts Per Million ( ppm ) 
2016-11-22,2596,0.022,Riverside-Rubidoux,24,Parts Per Million ( ppm ) 
2016-11-22,2266,0.025,Fontana-Arrow Highway,24,Parts Per Million ( ppm ) 
2016-11-22,3820,0.056,Ontario-NW Corner I-10 and Etiwanda Ave ,24,Parts Per Million ( ppm ) 
2016-11-22,3819,0.056,Ontario-Route 60 Near Road              ,24,Parts Per Million ( ppm ) 
2016-11-22,2221,0.017,San Bernardino-4th Street,24,Parts Per Million ( ppm ) 
2016-11-22,2485,0.014,Upland,21,Parts Per Million ( ppm ) 
2016-11-22,3812,0.003,Atascadero-Lift Station #5              ,23,Parts Per Million ( ppm ) 
2016-11-22,3003,0.001,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2016-11-22,2008,0.001,El Capitan Beach,23,Parts Per Million ( ppm ) 
2016-11-22,2954,0.001,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2016-11-22,3153,0.001,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2016-11-22,3101,0.000,Las Flores Canyon #1,22,Parts Per Million ( ppm ) 
2016-11-22,2992,-0.001,Lompoc-HSandP,21,Parts Per Million ( ppm ) 
2016-11-22,2360,0.003,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2016-11-22,2957,0.000,Paradise Road-Los Padres National Forest,22,Parts Per Million ( ppm ) 
2016-11-22,3665,0.007,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2016-11-22,3486,0.007,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2016-11-22,3023,0.000,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2016-11-22,2991,0.001,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2016-11-22,2880,0.006,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2016-11-22,2460,0.000,Alpine-Victoria Drive,21,Parts Per Million ( ppm ) 
2016-11-22,3198,0.004,Camp Pendleton,22,Parts Per Million ( ppm ) 
2016-11-22,2589,0.003,Chula Vista,22,Parts Per Million ( ppm ) 
2016-11-22,3829,0.003,El Cajon-Lexington Elementary School    ,20,Parts Per Million ( ppm ) 
2016-11-22,3739,0.004,Otay Mesa-Donovan,22,Parts Per Million ( ppm ) 
2016-11-22,3821,0.014,San Diego-11403 Rancho Carmel Dr        ,22,Parts Per Million ( ppm ) 
2016-11-22,3766,0.002,San Diego-Kearny Villa Road,21,Parts Per Million ( ppm ) 
2016-11-22,3828,0.023,Berkeley-Aquatic Park                   ,23,Parts Per Million ( ppm ) 
2016-11-22,3773,0.001,Livermore-13224 Patterson Pass Road,23,Parts Per Million ( ppm ) 
2016-11-22,3490,0.012,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2016-11-22,3247,0.004,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2016-11-22,3803,0.018,Oakland-Laney College                   ,23,Parts Per Million ( ppm ) 
2016-11-22,3742,0.011,Oakland-West,23,Parts Per Million ( ppm ) 
2016-11-22,2804,0.002,Bethel Island Road,23,Parts Per Million ( ppm ) 
2016-11-22,2831,0.004,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2016-11-22,3668,0.007,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2016-11-22,3782,0.006,San Ramon-9885 Alcosta Bl               ,23,Parts Per Million ( ppm ) 
2016-11-22,2622,0.012,San Rafael,23,Parts Per Million ( ppm ) 
2016-11-22,2655,0.010,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2016-11-22,2373,0.029,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2016-11-22,2125,0.009,Redwood City,23,Parts Per Million ( ppm ) 
2016-11-22,3810,0.023,San Jose-Knox Avenue                    ,19,Parts Per Million ( ppm ) 
2016-11-22,2410,0.025,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2016-11-22,3804,0.004,Sebastopol-103 Morris Street            ,23,Parts Per Million ( ppm ) 
2016-11-22,2013,0.017,Fresno-Drummond Street,22,Parts Per Million ( ppm ) 
2016-11-22,3781,0.020,Fresno-Garland                          ,24,Parts Per Million ( ppm ) 
2016-11-22,2844,0.006,Fresno-Sierra Skypark #2,23,Parts Per Million ( ppm ) 
2016-11-22,2114,0.003,Parlier,23,Parts Per Million ( ppm ) 
2016-11-22,3146,0.019,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2016-11-22,3787,0.027,Bakersfield-Municipal Airport,21,Parts Per Million ( ppm ) 
2016-11-22,2312,0.002,Edison,23,Parts Per Million ( ppm ) 
2016-11-22,2981,0.010,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2016-11-22,3129,0.014,Hanford-S Irwin Street,22,Parts Per Million ( ppm ) 
2016-11-22,3211,0.004,Madera-Pump Yard,23,Parts Per Million ( ppm ) 
2016-11-22,3022,0.004,Merced-S Coffee Avenue,23,Parts Per Million ( ppm ) 
2016-11-22,2094,0.021,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2016-11-22,3696,0.002,Tracy-Airport,24,Parts Per Million ( ppm ) 
2016-11-22,2996,0.011,Turlock-S Minaret Street,23,Parts Per Million ( ppm ) 
2016-11-22,2032,0.014,Visalia-N Church Street,21,Parts Per Million ( ppm ) 
2016-11-22,3135,0.015,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2016-11-22,2551,0.005,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2016-11-22,2199,0.002,Palm Springs-Fire Station,19,Parts Per Million ( ppm ) 
